cif;type;rmk;begin;end
00000019;TROCA;;2020-04-26 03:00:00;2020-04-28 03:00:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-01 08:40:00;2020-04-01 11:30:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-13 20:25:00;2020-04-13 22:10:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-15 01:35:00;2020-04-15 03:20:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-20 11:00:00;2020-04-20 16:20:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-20 17:25:00;2020-04-20 22:45:00
00000034;TROCA;;2020-04-04 03:00:00;2020-04-05 03:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-06 01:15:00;2020-04-06 02:40:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-13 18:55:00;2020-04-13 20:15:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-16 09:55:00;2020-04-16 11:30:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-16 11:50:00;2020-04-16 13:15:00
00000041;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-03 20:50:00;2020-04-03 22:15:00
00000043;RESTRICAO;01 voo para santiago inativo com o sobrinho COP CAMPOS RIBEIRO-CMT. CLAUDIO FERREIRA EMAIL EMITIDO EM 03032020;2020-04-01 03:00:00;2020-05-01 02:59:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-08 09:25:00;2020-04-08 10:40:00
00000071;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000072;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-16 01:15:00;2020-04-16 02:40:00
00000072;TROCA;;2020-04-20 03:00:00;2020-04-22 03:00:00
00000073;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-13 23:25:00;2020-04-14 00:30:00
00000073;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-14 14:20:00;2020-04-14 15:20:00
00000073;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-14 22:45:00;2020-04-15 00:05:00
00000080;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000080;FR-FIXA;SABADOS;2020-02-06 03:00:00;2020-09-30 03:00:00
00000089;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-09 01:15:00;2020-04-09 02:40:00
00000089;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-24 09:00:00;2020-04-24 10:45:00
00000109;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000115;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-16 20:25:00;2020-04-16 22:10:00
00000121;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000121;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-02 05:35:00;2020-04-02 09:40:00
00000121;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-02 10:50:00;2020-04-02 12:10:00
00000121;TROCA;;2020-04-25 03:00:00;2020-04-26 03:00:00
00000123;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-20 09:00:00;2020-04-20 10:45:00
00000125;PONTE;;2017-05-01 03:00:00;2035-12-30 03:00:00
00000125;RESTRICAO;ARR ATE 1400 HS DIA 09;2020-04-01 03:00:00;2020-05-01 03:00:00
00000126;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000127;PONTE;;2018-12-01 02:00:00;2035-12-31 00:00:00
00000128;FR-CASADA;CMTE TESCHE;2014-02-01 02:00:00;2034-12-31 02:59:00
00000128;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000146;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000146;TROCA;;2020-04-07 03:00:00;2020-04-08 03:00:00
00000146;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-12 18:00:00;2020-04-12 19:45:00
00000146;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-13 01:15:00;2020-04-13 02:40:00
00000164;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-08 09:35:00;2020-04-08 10:45:00
00000168;RESERVA;DIA 09 ARR ATE 1400 HS;2020-04-01 03:00:00;2020-05-01 03:00:00
00000168;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-04-02 05:55:00;2020-04-02 09:15:00
00000171;BEN;( FILHO NASCIDO EM 31/08/2018 );2019-05-28 03:00:00;2023-08-31 03:00:00
00000171;GVI;;2019-06-01 03:00:00;2035-12-31 00:00:00
