cif;type;rmk;begin;end
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-26 09:35:00;2020-09-26 11:10:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 12:30:00;2020-09-01 13:15:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 13:45:00;2020-09-01 15:30:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-02 12:25:00;2020-09-02 13:25:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-03 08:55:00;2020-09-03 10:05:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-03 12:35:00;2020-09-03 13:40:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-29 23:40:00;2020-09-30 01:25:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-30 21:00:00;2020-09-30 22:45:00
00000031;SENIOR;;2020-09-01 03:00:00;2035-12-31 00:00:00
00000035;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000037;AGD-RET;AGUARDANDO PROGRAMA DE TREINAMENTO;2020-09-01 03:00:00;2021-01-01 02:59:00
00000038;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000038;RESTRICAO;NAO VOAR ENTRE 23 E 06;2020-08-01 03:00:00;2020-12-31 03:00:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-20 16:20:00;2020-09-20 19:00:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-20 19:45:00;2020-09-20 22:20:00
00000041;AGD-RET;;2020-09-01 03:00:00;2020-10-01 02:59:00
00000044;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000044;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 21:35:00;2020-09-01 22:45:00
00000044;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-30 01:20:00;2020-09-30 02:30:00
00000050;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000050;RESTRICAO;NAO VOAR ENTRE 23 E 06;2020-08-01 03:00:00;2020-12-31 03:00:00
00000058;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-17 22:45:00;2020-09-18 00:05:00
00000058;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-19 21:30:00;2020-09-19 22:30:00
00000058;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-27 13:40:00;2020-09-27 16:40:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 03:35:00;2020-09-01 06:50:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 21:55:00;2020-09-01 23:15:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 23:45:00;2020-09-02 02:45:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-02 18:20:00;2020-09-02 20:15:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-02 20:45:00;2020-09-02 22:55:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-03 00:00:00;2020-09-03 01:15:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-14 08:15:00;2020-09-14 10:05:00
00000070;TROCA;;2020-10-01 03:00:00;2020-10-15 03:00:00
00000071;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000072;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-26 16:45:00;2020-09-26 19:20:00
00000072;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-26 20:05:00;2020-09-26 22:55:00
00000073;AGD-RET;NAO PODE VOAR ANTES DO EMG;2020-09-01 03:00:00;2020-09-02 03:00:00
00000080;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000080;FR-FIXA;SABADOS;2020-02-06 03:00:00;2020-09-30 03:00:00
00000080;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-27 15:40:00;2020-09-27 19:00:00
00000085;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-29 23:40:00;2020-09-30 01:25:00
00000085;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-30 21:00:00;2020-09-30 22:45:00
00000089;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-22 23:45:00;2020-09-23 01:25:00
00000089;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-23 00:15:00;2020-09-23 01:50:00
00000089;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-23 22:10:00;2020-09-23 23:40:00
00000089;TROCA;;2020-10-01 03:00:00;2020-11-01 02:59:00
00000109;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000114;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 15:20:00;2020-09-01 17:00:00
00000114;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-11 01:00:00;2020-09-11 02:55:00
00000114;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-12 07:50:00;2020-09-12 09:55:00
