cif;type;rmk;begin;end
00000020;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-25 13:20:00;2020-03-25 16:45:00
00000020;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-25 17:15:00;2020-03-25 20:50:00
00000020;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-28 12:50:00;2020-03-28 14:25:00
00000020;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-28 15:05:00;2020-03-28 16:50:00
00000022;RESTRICAO;TODA QUARTA ATE 16:50 **;2020-03-01 03:00:00;2020-03-31 03:00:00
00000022;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-24 17:20:00;2020-03-24 19:10:00
00000022;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-24 21:00:00;2020-03-24 22:45:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-22 12:50:00;2020-03-22 14:00:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-22 14:30:00;2020-03-22 15:40:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-26 13:35:00;2020-03-26 17:30:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-26 18:20:00;2020-03-26 21:45:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-27 22:45:00;2020-03-28 00:00:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-30 17:45:00;2020-03-30 19:45:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-30 20:15:00;2020-03-30 22:15:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-31 00:20:00;2020-03-31 03:25:00
00000026;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-26 09:50:00;2020-03-26 10:50:00
00000026;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-26 14:15:00;2020-03-26 16:50:00
00000026;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-30 12:05:00;2020-03-30 14:55:00
00000026;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-30 15:25:00;2020-03-30 18:10:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-19 15:15:00;2020-03-19 17:05:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-19 18:30:00;2020-03-19 20:20:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-20 11:55:00;2020-03-20 13:35:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-22 16:35:00;2020-03-22 17:40:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-22 21:25:00;2020-03-22 22:25:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-23 21:00:00;2020-03-23 22:40:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-23 22:25:00;2020-03-24 00:10:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-27 21:25:00;2020-03-27 22:25:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-27 22:55:00;2020-03-28 00:25:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-27 23:50:00;2020-03-28 01:00:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-28 19:10:00;2020-03-28 21:00:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-28 21:30:00;2020-03-28 23:20:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-29 09:45:00;2020-03-29 10:45:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-29 13:30:00;2020-03-29 16:30:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-29 13:55:00;2020-03-29 15:40:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-29 16:20:00;2020-03-29 18:10:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-29 17:10:00;2020-03-29 18:10:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-30 06:05:00;2020-03-30 09:30:00
00000027;TROCA;;2020-03-31 03:00:00;2020-04-01 03:00:00
00000029;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-31 16:00:00;2020-03-31 17:40:00
00000029;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-03-31 18:10:00;2020-03-31 19:50:00
