cif;type;rmk;begin;end
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-01 09:05:00;2020-05-01 10:35:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-01 11:15:00;2020-05-01 12:55:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-28 12:00:00;2020-05-28 13:20:00
00000026;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 16:45:00;2020-05-16 19:35:00
00000026;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 20:25:00;2020-05-16 23:15:00
00000026;TROCA;ERNESTO;2020-06-01 03:00:00;2020-06-02 03:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 16:30:00;2020-05-16 19:10:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 20:15:00;2020-05-16 23:05:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 22:30:00;2020-05-17 00:10:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-24 20:45:00;2020-05-24 23:20:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-31 22:30:00;2020-06-01 00:10:00
00000058;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-26 11:55:00;2020-05-26 12:50:00
00000070;TROCA;;2020-05-04 03:00:00;2020-05-07 03:00:00
00000070;TROCA;;2020-05-14 03:00:00;2020-05-15 03:00:00
00000070;TROCA;;2020-05-26 03:00:00;2020-05-27 03:00:00
00000070;TROCA;;2020-05-27 03:00:00;2020-06-01 03:00:00
00000071;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000072;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-18 16:35:00;2020-05-18 19:55:00
00000072;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-18 20:35:00;2020-05-19 00:05:00
00000080;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000080;FR-FIXA;SABADOS;2020-02-06 03:00:00;2020-09-30 03:00:00
00000109;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000114;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 09:10:00;2020-05-16 10:35:00
00000115;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000115;TROCA;;2020-05-06 03:00:00;2020-05-07 03:00:00
00000115;TROCA;;2020-05-10 03:00:00;2020-05-12 03:00:00
00000115;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-11 09:10:00;2020-05-11 10:35:00
00000115;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-21 11:05:00;2020-05-21 12:20:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-28 10:00:00;2020-05-28 11:00:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-28 11:40:00;2020-05-28 12:45:00
00000121;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000125;PONTE;;2017-05-01 03:00:00;2035-12-30 03:00:00
00000126;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000127;PONTE;;2018-12-01 02:00:00;2035-12-31 00:00:00
00000127;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-11 01:00:00;2020-05-11 01:55:00
00000128;FR-CASADA;CMTE TESCHE;2014-02-01 02:00:00;2034-12-31 02:59:00
00000128;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000146;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000146;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-15 01:10:00;2020-05-15 04:20:00
00000146;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-16 07:15:00;2020-05-16 10:30:00
00000147;TROCA;;2020-05-12 03:00:00;2020-05-13 03:00:00
00000147;TROCA;;2020-05-15 03:00:00;2020-05-16 03:00:00
00000147;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-29 17:30:00;2020-05-29 19:20:00
00000147;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-30 15:05:00;2020-05-30 16:50:00
00000156;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-13 01:00:00;2020-05-13 01:55:00
00000162;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-19 16:30:00;2020-05-19 19:10:00
00000162;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-19 20:15:00;2020-05-19 23:05:00
00000162;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-24 20:45:00;2020-05-24 23:20:00
00000164;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-13 09:00:00;2020-05-13 10:35:00
00000171;BEN;( FILHO NASCIDO EM 31/08/2018 );2019-05-28 03:00:00;2023-08-31 03:00:00
00000171;GVI;;2019-06-01 03:00:00;2035-12-31 00:00:00
00000172;PONTE;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000172;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-25 16:35:00;2020-05-25 19:55:00
00000172;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-25 20:35:00;2020-05-26 00:05:00
00000173;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000173;BEN;( FILHO NASCIDO EM 01/09/2016 );2017-08-23 03:00:00;2021-09-01 03:00:00
00000178;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-05 01:00:00;2020-05-05 01:55:00
00000178;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-31 13:10:00;2020-05-31 16:10:00
00000178;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-31 16:40:00;2020-05-31 17:30:00
00000178;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-31 18:00:00;2020-05-31 21:00:00
00000179;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-07 20:45:00;2020-05-07 23:20:00
00000179;TROCA;;2020-05-21 03:00:00;2020-05-22 03:00:00
00000181;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-08 12:00:00;2020-05-08 13:20:00
00000181;TROCA;;2020-05-21 03:00:00;2020-05-22 03:00:00
00000182;E-CASADA;Escala Casada com CMTE MARCO CIF 83;2012-01-06 02:00:00;2034-12-31 03:00:00
00000185;FR-FIXA;DOMINGOS;2020-04-01 03:00:00;2020-05-31 03:00:00
00000187;FR-CASADA;Folgas Casadas com CMRA MARISTELLA CIF 3499;2011-06-01 03:00:00;2034-12-31 03:00:00
00000187;TROCA;;2020-06-01 03:00:00;2020-06-03 03:00:00
00000188;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000188;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-09 16:10:00;2020-05-09 19:00:00
00000188;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-09 16:45:00;2020-05-09 19:35:00
00000188;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-09 19:40:00;2020-05-09 20:20:00
00000188;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-09 20:25:00;2020-05-09 23:15:00
00000188;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-09 21:00:00;2020-05-09 23:50:00
00000189;GVI;;2019-10-01 03:00:00;2035-12-31 00:00:00
00000194;AMA;( OPCAO DE 01 FOLGA A MAIS POR SEMANA );2019-11-28 03:00:00;2020-05-28 03:00:00
00000194;BEN;( FILHO NASCIDO EM JUN/19 );2020-05-29 03:00:00;2024-06-30 03:00:00
00000197;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-20 20:45:00;2020-05-20 23:20:00
00000197;TROCA;;2020-05-24 03:00:00;2020-05-26 03:00:00
00000200;GVI;;2019-04-01 03:00:00;2035-12-31 00:00:00
00000214;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000218;TROCA;;2020-05-09 03:00:00;2020-05-10 03:00:00
00000238;RESTRICAO;QUINTA SIMULADOR SAINDO AS 12:40;2020-03-01 03:00:00;2020-07-31 03:00:00
00000310;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000310;TROCA;;2020-05-30 03:00:00;2020-06-01 03:00:00
00000317;BEN;;2013-10-01 03:00:00;2026-01-01 02:59:00
00000318;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-07 01:10:00;2020-05-07 04:30:00
00000318;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-08 07:00:00;2020-05-08 10:30:00
00000337;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-13 20:45:00;2020-05-13 23:20:00
00000347;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-22 11:05:00;2020-05-22 12:20:00
00000363;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000363;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-06 01:10:00;2020-05-06 04:30:00
00000363;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-05-07 07:00:00;2020-05-07 10:30:00
