cif;type;rmk;begin;end
00000022;AGD-RET;;2020-08-01 03:00:00;2020-08-21 03:00:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-06 21:40:00;2020-08-06 23:20:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-07 00:00:00;2020-08-07 01:40:00
00000024;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-17 12:25:00;2020-08-17 14:40:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-30 16:20:00;2020-08-30 17:30:00
00000027;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-31 09:35:00;2020-08-31 10:40:00
00000031;SENIOR;;2020-07-01 03:00:00;2020-08-31 03:00:00
00000031;SENIOR;;2020-09-01 03:00:00;2035-12-31 00:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 09:45:00;2020-08-01 10:45:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 11:25:00;2020-08-01 12:30:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 13:40:00;2020-08-01 15:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 15:30:00;2020-08-01 16:50:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-02 10:40:00;2020-08-02 12:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-02 12:40:00;2020-08-02 15:05:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-02 15:40:00;2020-08-02 19:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-03 11:30:00;2020-08-03 13:50:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-03 14:20:00;2020-08-03 17:10:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-28 19:55:00;2020-08-28 21:05:00
00000035;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000037;AGD-RET;AGUARDANDO PROGRAMA DE TREINAMENTO;2020-09-01 03:00:00;2021-01-01 02:59:00
00000038;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000038;RESTRICAO;NAO VOAR ENTRE 23 E 06;2020-08-01 03:00:00;2020-12-31 03:00:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 17:55:00;2020-08-01 19:25:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 21:35:00;2020-08-01 23:25:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-02 00:05:00;2020-08-02 02:30:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-02 20:00:00;2020-08-02 22:30:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-02 23:40:00;2020-08-03 01:20:00
00000039;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-12 20:05:00;2020-08-12 21:45:00
00000041;AGD-RET;;2020-07-01 03:00:00;2020-08-20 03:00:00
00000041;AGD-RET;;2020-09-01 03:00:00;2020-10-01 02:59:00
00000044;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000046;AGD-RET;;2020-07-01 03:00:00;2020-08-17 03:00:00
00000050;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000050;RESTRICAO;NAO VOAR ENTRE 23 E 06;2020-08-01 03:00:00;2020-12-31 03:00:00
00000058;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-24 09:00:00;2020-08-24 12:00:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-14 14:10:00;2020-08-14 15:30:00
00000070;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 03:35:00;2020-09-01 06:50:00
00000071;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000073;AGD-RET;NAO PODE VOAR ANTES DO EMG;2020-09-01 03:00:00;2020-09-02 03:00:00
00000080;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000080;FR-FIXA;SABADOS;2020-02-06 03:00:00;2020-09-30 03:00:00
00000080;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 11:15:00;2020-08-01 11:55:00
00000080;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 12:35:00;2020-08-01 15:10:00
00000080;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 15:40:00;2020-08-01 19:00:00
00000089;TROCA;troca com fernando oliveira;2020-08-28 03:00:00;2020-09-01 03:00:00
00000109;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000114;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 00:15:00;2020-09-01 02:05:00
00000115;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000115;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-01 07:15:00;2020-08-01 09:20:00
00000115;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-08 02:10:00;2020-08-08 04:00:00
00000115;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-10 21:40:00;2020-08-10 23:20:00
00000115;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-11 00:00:00;2020-08-11 01:40:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-25 18:00:00;2020-08-25 19:15:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-25 18:05:00;2020-08-25 19:20:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-25 22:00:00;2020-08-25 23:00:00
00000116;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-25 23:45:00;2020-08-26 00:55:00
00000121;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000121;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-23 17:45:00;2020-08-23 20:25:00
00000123;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-24 10:00:00;2020-08-24 11:40:00
00000123;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-24 12:20:00;2020-08-24 14:00:00
00000125;PONTE;;2017-05-01 03:00:00;2035-12-30 03:00:00
00000125;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-29 01:10:00;2020-08-29 02:55:00
00000126;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000127;PONTE;;2018-12-01 02:00:00;2035-12-31 00:00:00
00000127;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-08-06 23:40:00;2020-08-07 01:40:00
00000128;FR-CASADA;CMTE TESCHE;2014-02-01 02:00:00;2034-12-31 02:59:00
00000128;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000128;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-09-01 01:00:00;2020-09-01 04:15:00
