cif;type;rmk;begin;end
00000020;AGD-RET;sec vencido;2020-11-01 03:00:00;2020-11-06 02:59:00
00000031;SENIOR;;2020-09-01 03:00:00;2035-12-31 00:00:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-03 12:30:00;2020-11-03 14:45:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-03 16:25:00;2020-11-03 18:35:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-04 15:55:00;2020-11-04 16:55:00
00000034;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-04 16:00:00;2020-11-04 17:05:00
00000035;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000037;AGD-RET;AGUARDANDO PROGRAMA DE TREINAMENTO;2020-09-01 03:00:00;2021-01-01 02:59:00
00000038;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000038;RESTRICAO;NAO VOAR ENTRE 23 E 06;2020-08-01 03:00:00;2020-12-31 03:00:00
00000044;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000044;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-07 10:55:00;2020-11-07 12:00:00
00000044;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-07 13:05:00;2020-11-07 17:25:00
00000050;SENIOR;;2020-07-01 03:00:00;2035-12-31 00:00:00
00000050;RESTRICAO;NAO VOAR ENTRE 23 E 06;2020-08-01 03:00:00;2020-12-31 03:00:00
00000071;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000080;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000109;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000115;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000121;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000125;PONTE;;2017-05-01 03:00:00;2035-12-30 03:00:00
00000126;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000127;PONTE;;2018-12-01 02:00:00;2035-12-31 00:00:00
00000128;FR-CASADA;CMTE TESCHE;2014-02-01 02:00:00;2034-12-31 02:59:00
00000128;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000143;RESTRICAO;NAO EFF INST SOMENTE XQ;2020-08-01 03:00:00;2020-12-31 03:00:00
00000146;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000156;FR-CASADA;COP. ESTEVAM (CIF.41650);2020-09-01 03:00:00;2035-12-31 00:00:00
00000166;FR-CASADA;CHC ROSANA (CIF.188);2020-07-01 03:00:00;2035-12-31 00:00:00
00000166;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-02 15:40:00;2020-11-02 16:40:00
00000171;BEN;( FILHO NASCIDO EM 31/08/2018 );2019-05-28 03:00:00;2023-08-31 03:00:00
00000171;GVI;;2019-06-01 03:00:00;2035-12-31 00:00:00
00000172;PONTE;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000173;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000173;BEN;( FILHO NASCIDO EM 01/09/2016 );2017-08-23 03:00:00;2021-09-01 03:00:00
00000173;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-04 18:10:00;2020-11-04 19:10:00
00000182;E-CASADA;Escala Casada com CMTE MARCO CIF 83;2012-01-06 02:00:00;2034-12-31 03:00:00
00000187;FR-CASADA;Folgas Casadas com CMRA MARISTELLA CIF 3499;2011-06-01 03:00:00;2034-12-31 03:00:00
00000187;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-03 17:30:00;2020-11-03 18:50:00
00000188;GVI;;2019-01-06 02:00:00;2035-12-31 00:00:00
00000188;FR-CASADA;CHC MARCOS (CIF.166);2020-07-01 03:00:00;2035-12-31 00:00:00
00000188;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-02 12:25:00;2020-11-02 16:15:00
00000189;GVI;;2019-10-01 03:00:00;2035-12-31 00:00:00
00000194;BEN;( FILHO NASCIDO EM JUN/19 );2020-05-29 03:00:00;2024-06-30 03:00:00
00000197;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-07 01:55:00;2020-11-07 02:45:00
00000200;GVI;;2019-04-01 03:00:00;2035-12-31 00:00:00
00000214;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000226;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-02 18:10:00;2020-11-02 19:10:00
00000229;SENIOR;;2020-07-30 03:00:00;2035-12-31 00:00:00
00000238;AGD-RET;SEC VENCIDO;2020-12-01 03:00:00;2020-12-05 02:59:00
00000309;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-07 20:40:00;2020-11-07 22:00:00
00000309;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-07 22:40:00;2020-11-08 00:00:00
00000309;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-08 23:55:00;2020-11-09 02:15:00
00000310;GVI;;2016-04-01 03:00:00;2035-12-31 00:00:00
00000310;TROCA;TFR;2020-11-01 03:00:00;2020-12-01 02:59:00
00000310;CXDFLIGHT;generated by schedule import CXD Flight macro;2020-11-01 23:45:00;2020-11-02 01:25:00
